id;title;year
tt0111161;Die Verurteilten;1994
tt0068646;Der Pate;1972
tt0468569;The Dark Knight;2008
tt0071562;Der Pate 2;1974
tt0050083;Die zwölf Geschworenen;1957
tt0167260;Der Herr der Ringe: Die Rückkehr des Königs;2003
tt0110912;Pulp Fiction;1994
tt0108052;Schindlers Liste;1993
tt1375666;Inception;2010
tt0137523;Fight Club;1999
tt0120737;Der Herr der Ringe: Die Gefährten;2001
tt0109830;Forrest Gump;1994
tt0060196;Zwei glorreiche Halunken;1966
tt10554232;Dara iz Jasenovca;2020
tt0167261;Der Herr der Ringe: Die zwei Türme;2002
tt0133093;Matrix;1999
tt0099685;GoodFellas - Drei Jahrzehnte in der Mafia;1990
tt0080684;Das Imperium schlägt zurück;1980
tt0073486;Einer flog über das Kuckucksnest;1975
tt6751668;Parasite;2019
tt10189514;Soorarai Pottru;2020
tt0816692;Interstellar;2014
tt0317248;City of God;2002
tt0245429;Chihiros Reise ins Zauberland;2001
tt0120815;Der Soldat James Ryan;1998
tt0120689;The Green Mile;1999
tt0118799;Das Leben ist schön;1997
tt0114369;Sieben;1995
tt0102926;Das Schweigen der Lämmer;1991
tt0076759;Krieg der Sterne;1977
tt0056058;Harakiri;1962
tt0047478;Die sieben Samurai;1954
tt0038650;Ist das Leben nicht schön?;1946
tt8503618;Hamilton;2020
tt2582802;Whiplash;2014
tt1675434;Ziemlich beste Freunde;2011
tt0482571;Prestige: Die Meister der Magie;2006
tt0407887;Departed - Unter Feinden;2006
tt0253474;Der Pianist;2002
tt0172495;Gladiator;2000
tt0120586;American History X;1998
tt0114814;Die üblichen Verdächtigen;1995
tt0110413;Léon: Der Profi;1994
tt0110357;Der König der Löwen;1994
tt0103064;Terminator 2: Tag der Abrechnung;1991
tt0095765;Cinema Paradiso;1988
tt0095327;Die letzten Glühwürmchen;1988
tt0088763;Zurück in die Zukunft;1985
tt0064116;Spiel mir das Lied vom Tod;1968
tt0054215;Psycho;1960
tt0034583;Casablanca;1942
tt0027977;Moderne Zeiten;1936
tt0021749;Lichter der Großstadt - Eine Komödien-Romance als Pantomime;1931
tt8267604;Capernaum - Stadt der Hoffnung;2018
tt7286456;Joker;2019
tt6316138;Ayla;2017
tt6148156;Vikram Vedha;2017
tt5311514;Your Name.;2016
tt5074352;Dangal - Die Hoffnung auf den großen Sieg;2016
tt4633694;Spider-Man: A New Universe;2018
tt4154796;Avengers: Endgame;2019
tt4154756;Avengers: Infinity War;2018
tt1853728;Django Unchained;2012
tt1345836;The Dark Knight Rises;2012
tt1187043;3 Idiots;2009
tt0986264;Taare Zameen Par - Ein Stern auf Erden;2007
tt0910970;WALL·E - Der Letzte räumt die Erde auf;2008
tt0405094;Das Leben der Anderen;2006
tt0364569;Oldboy;2003
tt0209144;Memento;2000
tt0119698;Prinzessin Mononoke;1997
tt0087843;Es war einmal in Amerika;1984
tt0082971;Jäger des verlorenen Schatzes;1981
tt0081505;Shining;1980
tt0078788;Apocalypse Now;1979
tt0078748;Alien - Das unheimliche Wesen aus einer fremden Welt;1979
tt0066763;Anand;1971
tt0057565;Zwischen Himmel und Hölle;1963
tt0057012;Dr. Seltsam oder: Wie ich lernte, die Bombe zu lieben;1964
tt0051201;Zeugin der Anklage;1957
tt0050825;Wege zum Ruhm;1957
tt0047396;Das Fenster zum Hof;1954
tt0043014;Boulevard der Dämmerung;1950
tt0032553;Der große Diktator;1940
tt8579674;1917;2019
tt8239946;Tumbbad;2018
tt8108198;Andhadhun;2018
tt3417422;Drishyam;2013
tt2106476;Die Jagd;2012
tt1832382;Nader und Simin - eine Trennung;2011
tt1255953;Die Frau die singt - Incendies;2010
tt10431500;7. Kogustaki Mucize;2019
tt0476735;Mein Vater und mein Sohn;2005
tt0361748;Inglourious Basterds;2009
tt0338013;Vergiss mein nicht;2004
tt0211915;Die fabelhafte Welt der Amelie;2001
tt0208092;Snatch - Schweine und Diamanten;2000
tt0180093;Requiem for a Dream;2000
tt0169547;American Beauty;1999
tt0119217;Good Will Hunting - Der gute Will Hunting;1997
tt0118849;Kinder des Himmels;1997
tt0114709;Toy Story;1995
tt0112573;Braveheart;1995
tt0105236;Reservoir Dogs - Wilde Hunde;1992
tt0093058;Full Metal Jacket;1987
tt0091251;Komm und sieh';1985
tt0090605;Aliens - Die Rückkehr;1986
tt0086879;Amadeus;1984
tt0086250;Scarface;1983
tt0086190;Die Rückkehr der Jedi-Ritter;1983
tt0082096;Das Boot;1981
tt0070735;Der Clou;1973
tt0066921;Uhrwerk Orange;1971
tt0062622;2001: Odyssee im Weltraum;1968
tt0056172;Lawrence von Arabien;1962
tt0053604;Das Appartement;1960
tt0053125;Der unsichtbare Dritte;1959
tt0052357;Vertigo - Aus dem Reich der Toten;1958
tt0045152;Du sollst mein Glücksstern sein;1952
tt0044741;Ikiru - Einmal wirklich leben;1952
tt0040522;Fahrraddiebe;1948
tt0036775;Frau ohne Gewissen;1944
tt0033467;Citizen Kane;1941
tt0022100;M - Eine Stadt sucht einen Mörder;1931
tt0017136;Metropolis;1927
tt0012349;Der Vagabund und das Kind;1921
tt9052870;Chhichhore;2019
tt8291224;Lethal Strike;2018
tt7838252;K.G.F: Chapter 1;2018
tt6966692;Green Book - Eine besondere Freundschaft;2018
tt5027774;Three Billboards Outside Ebbing, Missouri;2017
tt4934950;Guilty;2015
tt4849438;Baahubali 2: The Conclusion;2017
tt4729430;Klaus;2019
tt4430212;Drishyam;2015
tt3322420;Queen;2013
tt2991224;Tangerines;2013
tt2356180;Der Lauf seines Lebens: The Flying Sikh;2013
tt1954470;Gangs of Wasseypur;2012
tt1639426;Udaan;2010
tt1620933;Paan Singh Tomar;2012
tt1305806;In ihren Augen;2009
tt1291584;Warrior;2011
tt1130884;Shutter Island;2010
tt1049413;Oben;2009
tt0993846;The Wolf of Wall Street;2013
tt0871510;Chakde! - Ein unschlagbares Team;2007
tt0469494;There Will Be Blood;2007
tt0457430;Pans Labyrinth;2006
tt0435761;Toy Story 3;2010
tt0434409;V wie Vendetta;2005
tt0405508;Rang De Basanti - Die Farbe Safran;2006
tt0375611;Black;2005
tt0372784;Batman Begins;2005
tt0367110;Swades - Heimat;2004
tt0363163;Der Untergang;2004
tt0347149;Das wandelnde Schloss;2004
tt0268978;A Beautiful Mind - Genie und Wahnsinn;2001
tt0242519;Hera Pheri;2000
tt0120735;Bube Dame König grAS;1998
tt0119488;L.A. Confidential;1997
tt0116231;Eskiya - Der Bandit;1996
tt0113277;Heat;1995
tt0112641;Casino;1995
tt0109117;Andaz Apna Apna;1994
tt0105695;Erbarmungslos;1992
tt0097576;Indiana Jones und der letzte Kreuzzug;1989
tt0097223;Die Zeit der Zigeuner;1988
tt0096283;Mein Nachbar Totoro;1988
tt0095016;Stirb langsam;1988
tt0089881;Ran;1985
tt0081398;Wie ein wilder Stier;1980
tt0079944;Stalker;1979
tt0077711;Herbstsonate;1978
tt0075314;Taxi Driver;1976
tt0074896;Mohammed - Der Gesandte Gottes;1976
tt0073707;Sholay;1975
tt0071853;Die Ritter der Kokosnuß;1975
tt0059578;Für ein paar Dollar mehr;1965
tt0057115;Gesprengte Ketten;1963
tt0056592;Wer die Nachtigall stört;1962
tt0055630;Yojimbo - Der Leibwächter;1961
tt0055031;Das Urteil von Nürnberg;1961
tt0053291;Manche mögen's heiß;1959
tt0050986;Wilde Erdbeeren;1957
tt0050976;Das siebente Siegel;1957
tt0046912;Bei Anruf Mord;1954
tt0046438;Die Reise nach Tokio;1953
tt0042876;Rashomon;1950
tt0042192;Alles über Eva;1950
tt0040897;Der Schatz der Sierra Madre;1948
tt0035446;Sein oder Nichtsein;1942
tt0015864;Goldrausch;1925
tt0015324;Sherlock Holmes Jr.;1924
tt8613070;Porträt einer jungen Frau in Flammen;2019
tt5323662;A Silent Voice;2016
tt4857264;Der unsichtbare Gast;2016
tt4016934;Die Taschendiebin;2016
tt3390572;Haider;2014
tt3315342;Logan: The Wolverine;2017
tt3011894;Wild Tales: Jeder dreht mal durch!;2014
tt2948372;Soul;2020
tt2758880;Winterschlaf;2014
tt2338151;PK - Andere Sterne, Andere Sitten;2014
tt2283748;OMG: Oh My God!;2012
tt2278388;Grand Budapest Hotel;2014
tt2267998;Gone Girl - Das perfekte Opfer;2014
tt2140203;Ame & Yuki - Die Wolfskinder;2012
tt2119532;Hacksaw Ridge - Die Entscheidung;2016
tt2082197;Barfi! - Liebe braucht keine Worte;2012
tt2024544;12 Years a Slave;2013
tt1950186;Le Mans 66 - Gegen jede Chance;2019
tt1865505;Die Melodie des Meeres;2014
tt1821480;Kahaani;2012
tt1562872;Man lebt nur einmal;2011
tt1392214;Prisoners;2013
tt1392190;Mad Max: Fury Road;2015
tt1280558;A Wednesday;2008
tt1205489;Gran Torino;2008
tt1201607;Harry Potter und die Heiligtümer des Todes - Teil 2;2011
tt1069238;Nokan - Die Kunst des Ausklangs;2008
tt1028532;Hachiko - Eine wunderbare Freundschaft;2009
tt0978762;Mary & Max, oder - Schrumpfen Schafe, wenn es regnet;2009
tt0892769;Drachenzähmen leicht gemacht;2010
tt0758758;Into the Wild;2007
tt0477348;No Country for Old Men;2007
tt0405159;Million Dollar Baby;2004
tt0395169;Hotel Ruanda;2004
tt0386064;Brotherhood;2004
tt0381681;Before Sunset;2004
tt0374887;Munna Bhai M.B.B.S.;2003
tt0353969;Memories of Murder;2003
tt0292490;Dil Chahta Hai;2001
tt0266697;Kill Bill: Vol. 1;2003
tt0266543;Findet Nemo;2003
tt0264464;Catch Me If You Can;2002
tt0245712;Amores perros;2000
tt0198781;Die Monster AG;2001
tt0169858;Neon Genesis Evangelion - The End of Evangelion;1997
tt0169102;Lagaan - Es war einmal in Indien;2001
tt0167404;The Sixth Sense;1999
tt0120731;Die Legende vom Ozeanpianisten;1998
tt0120382;Die Truman Show;1998
tt0118843;Schwarze Katze, weißer Kater;1998
tt0118715;The Big Lebowski;1998
tt0118694;In the Mood for Love - Der Klang der Liebe;2000
tt0117951;Trainspotting - Neue Helden;1996
tt0116282;Fargo - Blutiger Schnee;1996
tt0114787;Underground;1995
tt0113247;Hass;1995
tt0112870;Dilwale Dulhania Le Jayenge;1995
tt0112471;Before Sunrise - Zwischenstopp in Wien;1995
tt0111495;Drei Farben - Rot;1994
tt0109424;Chungking Express;1994
tt0107290;Jurassic Park;1993
tt0107207;Im Namen des Vaters;1993
tt0106332;Lebewohl, meine Konkubine;1993
tt0101640;Rote Laterne;1991
tt0097165;Der Club der toten Dichter;1989
tt0092005;Stand by Me - Das Geheimnis eines Sommers;1986
tt0091763;Platoon;1986
tt0087884;Paris, Texas;1984
tt0087544;Nausicaä - Prinzessin aus dem Tal der Winde;1984
tt0084787;Das Ding aus einer anderen Welt;1982
tt0084503;Pink Floyd - The Wall;1982
tt0083946;Fitzcarraldo;1982
tt0083922;Fanny und Alexander;1982
tt0083658;Der Blade Runner;1982
tt0080678;Der Elefantenmensch;1980
tt0079470;Das Leben des Brian;1979
tt0077416;Die durch die Hölle gehen;1978
tt0075148;Rocky;1976
tt0074958;Network;1976
tt0072684;Barry Lyndon;1975
tt0072443;Der Spiegel;1975
tt0071315;Chinatown;1974
tt0070510;Paper Moon;1973
tt0069467;Schreie und Flüstern;1972
tt0069293;Solaris;1972
tt0062229;Der eiskalte Engel;1967
tt0061512;Der Unbeugsame;1967
tt0060827;Persona;1966
tt0060107;Andrej Rubljow;1966
tt0058946;Schlacht um Algier;1966
tt0056732;Der Würgeengel;1962
tt0056687;Was geschah wirklich mit Baby Jane?;1962
tt0056443;Sanjuro;1962
tt0056217;Der Mann der Liberty Valance erschoss;1962
tt0056111;Iwans Kindheit;1962
tt0053976;Die Jungfrauenquelle;1960
tt0053946;Wer den Wind sät;1960
tt0053198;Sie küßten und sie schlugen ihn;1959
tt0052618;Ben Hur;1959
tt0051808;Die verborgene Festung;1958
tt0050783;Die Nächte der Cabiria;1957
tt0050613;Das Schloß im Spinnwebwald;1957
tt0050212;Die Brücke am Kwai;1957
tt0048021;Rififi;1955
tt0047296;Die Faust im Nacken;1954
tt0046268;Lohn der Angst;1953
tt0043338;Reporter des Satans;1951
tt0042041;Maschinenpistolen;1949
tt0041959;Der dritte Mann;1949
tt0040725;Die roten Schuhe;1948
tt0033045;Rendezvous nach Ladenschluß;1940
tt0032976;Rebecca;1940
tt0031679;Mr. Smith geht nach Washington;1939
tt0031381;Vom Winde verweht;1939
tt0028950;Die große Illusion;1937
tt0025316;Es geschah in einer Nacht;1934
tt0019254;Die Passion der Jeanne d'Arc;1928
tt0018773;Der Zirkus;1928
tt0018455;Sonnenaufgang;1927
tt0017925;Der General;1926
tt0010323;Das Cabinet des Dr. Caligari;1920
tt7725596;Badhaai ho;2018
tt5116302;Togo;2019
tt4387040;Airlift;2016
tt3863552;Bajrangi Bhaijaan;2015
tt3783958;La La Land;2016
tt3741834;Lion: Der lange Weg nach Hause;2016
tt3659388;Der Marsianer: Rettet Mark Watney;2015
tt2948356;Zoomania;2016
tt2631186;Baahubali;2015
tt2576852;Die Legende der Prinzessin Kaguya;2013
tt2395469;Gully Boy;2019
tt2377938;Special Chabbis;2013
tt2370248;Short Term 12 - Stille Helden;2013
tt2265171;The Raid 2;2014
tt2084970;The Imitation Game - Ein streng geheimes Leben;2014
tt2015381;Guardians of the Galaxy;2014
tt1856101;Blade Runner 2049;2017
tt1798709;Her;2013
tt1727824;Bohemian Rhapsody;2018
tt1663202;The Revenant - Der Rückkehrer;2015
tt1659337;Vielleicht lieber morgen;2012
tt1555149;Elite Squad: Im Sumpf der Korruption;2010
tt1504320;The King's Speech - Die Rede des Königs;2010
tt1454029;The Help;2011
tt1431045;Deadpool;2016
tt1360860;Alles über Elly;2009
tt1327035;Dev.D;2009
tt1220719;Ip Man;2008
tt1188996;My Name Is Khan;2010
tt1171701;Nefes - Der Atemzug;2009
tt1010048;Slumdog Millionär;2008
tt0947798;Black Swan;2010
tt0861739;Tropa de Elite;2007
tt0848228;The Avengers;2012
tt0808417;Persepolis;2007
tt0790636;Dallas Buyers Club;2013
tt0456144;Lage Raho Munna Bhai;2006
tt0454921;Das Streben nach Glück;2006
tt0450259;Blood Diamond;2006
tt0440963;Das Bourne Ultimatum;2007
tt0423866;Bin-Jip - Leere Häuser;2004
tt0401792;Sin City;2005
tt0401383;Schmetterling und Taucherglocke;2007
tt0384116;G.O.R.A.;2004
tt0382932;Ratatouille;2007
tt0381061;James Bond 007: Casino Royale;2006
tt0378194;Kill Bill: Vol. 2;2004
tt0376968;Die Rückkehr;2003
tt0374546;Frühling, Sommer, Herbst, Winter... und Frühling;2003
tt0352248;Das Comeback;2005
tt0338564;Infernal Affairs - Die achte Hölle;2002
tt0325980;Fluch der Karibik;2003
tt0319061;Big Fish - Der Zauber, der ein Leben zur Legende macht;2003
tt0317705;Die Unglaublichen;2004
tt0293715;Miss Unerhört!;2001
tt0276919;Dogville;2003
tt0270053;Vison Tele;2001
tt0246578;Donnie Darko;2001
tt0175880;Magnolia;1999
tt0168629;Dancer in the Dark;2000
tt0166896;The Straight Story - Eine wahre Geschichte;1999
tt0156887;Perfect Blue;1997
tt0154420;Das Fest;1998
tt0140888;Central Station;1998
tt0129167;Der Gigant aus dem All;1999
tt0119472;Knockin' on Heaven's Door;1997
tt0117666;Sling Blade - Auf Messers Schneide;1996
tt0117589;Lügen und Geheimnisse;1996
tt0114746;12 Monkeys;1995
tt0113568;Ghost in the Shell;1995
tt0107688;Nightmare Before Christmas;1993
tt0107048;... und täglich grüßt das Murmeltier;1993
tt0106469;Blood in Blood Out - Verschworen auf Leben und Tod;1993
tt0105323;Der Duft der Frauen;1992
tt0103639;Aladdin;1992
tt0102138;JFK: Tatort Dallas;1991
tt0101414;Die Schöne und das Biest;1991
tt0099348;Der mit dem Wolf tanzt;1990
tt0097216;Do the Right Thing;1989
tt0095953;Rain Man;1988
tt0094625;Akira;1988
tt0093779;Die Braut des Prinzen;1987
tt0093191;Der Himmel über Berlin;1987
tt0092593;Auf Wiedersehen, Kinder;1987
tt0092067;Das Schloss im Himmel;1986
tt0088247;Terminator;1984
tt0083987;Gandhi;1982
tt0080979;Kagemusha - Der Schatten des Kriegers;1980
tt0078841;Willkommen, Mr. Chance;1979
tt0075686;Der Stadtneurotiker;1977
tt0073195;Der weiße Hai;1975
tt0072890;Hundstage;1975
tt0072431;Frankenstein Junior;1974
tt0070511;Papillon;1973
tt0070047;Der Exorzist;1973
tt0069281;Mord mit kleinen Fehlern;1972
tt0067328;Die letzte Vorstellung;1971
tt0067093;Anatevka;1971
tt0065571;Der große Irrtum;1970
tt0064115;Zwei Banditen;1969
tt0063522;Rosemaries Baby;1968
tt0063442;Planet der Affen;1968
tt0061722;Die Reifeprüfung;1967
tt0061184;Wer hat Angst vor Virginia Woolf?;1966
tt0059742;Meine Lieder, meine Träume;1965
tt0059113;Doktor Schiwago;1965
tt0058461;Für eine Handvoll Dollar;1964
tt0056801;Achteinhalb;1963
tt0056663;Jean-Luc Godard: Die Geschichte der Nana S.;1962
tt0054997;Haie der Großstadt;1961
tt0053779;Das süße Leben;1960
tt0053221;Rio Bravo;1959
tt0052561;Anatomie eines Mordes;1959
tt0052311;Im Zeichen des Bösen;1958
tt0051459;Die Katze auf dem heißen Blechdach;1958
tt0051036;Dein Schicksal in meiner Hand;1957
tt0049406;Die Rechnung ging nicht auf;1956
tt0048424;Die Nacht des Jägers;1955
tt0047528;Das Lied der Straße;1954
tt0046911;Die Teuflischen;1955
tt0046359;Stalag 17;1953
tt0046250;Ein Herz und eine Krone;1953
tt0044081;Endstation Sehnsucht;1951
tt0042593;Ein einsamer Ort;1950
tt0041546;Adel verpflichtet;1949
tt0040746;Cocktail für eine Leiche;1948
tt0039689;Goldenes Gift;1947
tt0037558;Begegnung;1945
tt0036868;Die besten Jahre unseres Lebens;1946
tt0036613;Arsen und Spitzenhäubchen;1942
tt0033870;Die Spur des Falken;1941
tt0032551;Früchte des Zorns;1940
tt0032138;Der Zauberer von Oz;1939
tt0031885;Die Spielregel;1939
tt0025878;Der dünne Mann;1934
tt0020629;Im Westen nichts Neues;1930
tt0015648;Panzerkreuzer Potemkin;1925
tt8946378;Knives Out: Ein Mord zum Dessert;2019
tt8110330;Dil Bechara;2020
tt8075192;Shoplifters - Familienbande;2018
tt7653254;Marriage Story;2019
tt5726616;Call Me by Your Name;2017
tt5168192;Ich, Daniel Blake;2016
tt5104604;Isle of Dogs - Ataris Reise;2018
tt4698684;Wo die wilden Menschen jagen;2016
tt3553976;Captain Fantastic: Einmal Wildnis und zurück;2016
tt3544112;Sing Street;2016
tt3501632;Thor: Tag der Entscheidung;2017
tt2872718;Nightcrawler - Jede Nacht hat ihren Preis;2014
tt2584384;Jojo Rabbit;2019
tt2488496;Star Wars - Episode VII: Das Erwachen der Macht;2015
tt2209418;Before Midnight;2013
tt1877832;X-Men: Zukunft ist Vergangenheit;2014
tt1827487;Once Upon a Time in Anatolia;2011
tt1631867;Edge of Tomorrow - Live. Die. Repeat;2014
tt1602620;Liebe;2012
tt1302006;The Irishman;2019
tt1235166;Ein Prophet;2009
tt1182345;Moon;2009
tt1139797;So finster die Nacht;2008
tt1136608;District 9;2009
tt1125849;The Wrestler - Ruhm, Liebe, Schmerz;2008
tt1093370;Als ich Dich traf;2007
tt1032846;4 Monate, 3 Wochen und 2 Tage;2007
tt0796366;Star Trek;2009
tt0780536;Brügge sehen... und sterben?;2008
tt0756683;The Man from Earth;2007
tt0498380;Letters from Iwo Jima;2006
tt0460791;The Fall;2006
tt0454876;Life of Pi: Schiffbruch mit Tiger;2012
tt0432283;Der fantastische Mr. Fox;2009
tt0401085;C.R.A.Z.Y. - Verrücktes Leben;2005
tt0372824;Die Kinder des Monsieur Mathieu;2004
tt0371746;Iron Man;2008
